Subject,Run,Condition,Trials,Trials,Trials
,,,Correct,Incorrect,Missed
185,LR,0bk,40,0,0
185,LR,2bk,36,4,0
185,RL,0bk,38,2,1
185,RL,2bk,34,6,2
186,LR,0bk,40,0,0
186,LR,2bk,38,2,0
186,RL,0bk,37,3,0
186,RL,2bk,32,8,3
187,LR,0bk,40,0,0
187,LR,2bk,38,2,0
187,RL,0bk,27,13,0
187,RL,2bk,33,7,1
188,LR,0bk,39,1,1
188,LR,2bk,37,3,0
188,RL,0bk,39,1,0
188,RL,2bk,29,11,2
189,LR,0bk,40,0,0
189,LR,2bk,40,0,0
189,RL,0bk,40,0,0
189,RL,2bk,35,5,1
190,LR,0bk,40,0,0
190,LR,2bk,38,2,2
190,RL,0bk,40,0,0
190,RL,2bk,37,3,1
191,LR,0bk,39,1,1
191,LR,2bk,35,5,1
191,RL,0bk,33,7,1
191,RL,2bk,37,3,1
192,LR,0bk,34,6,2
192,LR,2bk,31,9,3
192,RL,0bk,32,8,3
192,RL,2bk,29,11,4
193,LR,0bk,40,0,0
193,LR,2bk,40,0,0
193,RL,0bk,40,0,0
193,RL,2bk,37,3,2
194,LR,0bk,37,3,1
194,LR,2bk,36,4,1
194,RL,0bk,34,6,3
194,RL,2bk,32,8,3
195,LR,0bk,37,3,1
195,LR,2bk,33,7,1
195,RL,0bk,36,4,1
195,RL,2bk,33,7,1
196,LR,0bk,40,0,0
196,LR,2bk,37,3,0
196,RL,0bk,36,4,2
196,RL,2bk,32,8,4
197,LR,0bk,39,1,0
197,LR,2bk,37,3,0
197,RL,0bk,38,2,1
197,RL,2bk,36,4,0
198,LR,0bk,39,1,0
198,LR,2bk,38,2,1
198,RL,0bk,36,4,4
198,RL,2bk,37,3,0
199,LR,0bk,39,1,1
199,LR,2bk,40,0,0
199,RL,0bk,36,4,1
199,RL,2bk,35,5,2
200,LR,0bk,35,5,0
200,LR,2bk,30,10,0
200,RL,0bk,39,1,0
200,RL,2bk,36,4,0
201,LR,0bk,33,7,2
201,LR,2bk,21,19,10
201,RL,0bk,38,2,2
201,RL,2bk,23,17,12
202,LR,0bk,36,4,1
202,LR,2bk,28,12,1
202,RL,0bk,30,10,4
202,RL,2bk,29,11,2
203,LR,0bk,40,0,0
203,LR,2bk,39,1,0
203,RL,0bk,40,0,0
203,RL,2bk,34,6,2
204,LR,0bk,40,0,0
204,LR,2bk,37,3,0
204,RL,0bk,38,2,0
204,RL,2bk,36,4,2
205,LR,0bk,40,0,0
205,LR,2bk,35,5,2
205,RL,0bk,37,3,1
205,RL,2bk,30,10,4
206,LR,0bk,36,4,1
206,LR,2bk,39,1,1
206,RL,0bk,40,0,0
206,RL,2bk,35,5,1
207,LR,0bk,39,1,0
207,LR,2bk,40,0,0
207,RL,0bk,40,0,0
207,RL,2bk,36,4,1
208,LR,0bk,39,1,0
208,LR,2bk,38,2,1
208,RL,0bk,39,1,0
208,RL,2bk,40,0,0
209,LR,0bk,39,1,1
209,LR,2bk,34,6,2
209,RL,0bk,36,4,2
209,RL,2bk,29,11,3
210,LR,0bk,39,1,0
210,LR,2bk,36,4,0
210,RL,0bk,35,5,1
210,RL,2bk,36,4,1
211,LR,0bk,40,0,0
211,LR,2bk,37,3,1
211,RL,0bk,39,1,1
211,RL,2bk,36,4,0
212,LR,0bk,39,1,1
212,LR,2bk,38,2,0
212,RL,0bk,40,0,0
212,RL,2bk,26,14,9
213,LR,0bk,37,3,1
213,LR,2bk,34,6,2
213,RL,0bk,38,2,1
213,RL,2bk,28,12,6
214,LR,0bk,40,0,0
214,LR,2bk,40,0,0
214,RL,0bk,39,1,0
214,RL,2bk,36,4,2
215,LR,0bk,39,1,1
215,LR,2bk,38,2,0
215,RL,0bk,40,0,0
215,RL,2bk,33,7,0
216,LR,0bk,38,2,1
216,LR,2bk,39,1,0
216,RL,0bk,37,3,2
216,RL,2bk,36,4,1
217,LR,0bk,40,0,0
217,LR,2bk,36,4,1
217,RL,0bk,38,2,1
217,RL,2bk,35,5,2
218,LR,0bk,38,2,0
218,LR,2bk,36,4,1
218,RL,0bk,40,0,0
218,RL,2bk,34,6,0
219,LR,0bk,37,3,1
219,LR,2bk,27,13,8
219,RL,0bk,33,7,6
219,RL,2bk,25,15,7
220,LR,0bk,40,0,0
220,LR,2bk,35,5,1
220,RL,0bk,40,0,0
220,RL,2bk,32,8,0
221,LR,0bk,40,0,0
221,LR,2bk,38,2,0
221,RL,0bk,40,0,0
221,RL,2bk,38,2,0
222,LR,0bk,35,5,3
222,LR,2bk,21,19,13
222,RL,0bk,37,3,1
222,RL,2bk,22,18,8
223,LR,0bk,40,0,0
223,LR,2bk,40,0,0
223,RL,0bk,39,1,1
223,RL,2bk,34,6,3
224,LR,0bk,37,3,0
224,LR,2bk,30,10,4
224,RL,0bk,37,3,0
224,RL,2bk,29,11,5
225,LR,0bk,38,2,1
225,LR,2bk,38,2,1
225,RL,0bk,39,1,0
225,RL,2bk,30,10,1
226,LR,0bk,33,7,7
226,LR,2bk,25,15,5
226,RL,0bk,40,0,0
226,RL,2bk,24,16,9
227,LR,0bk,40,0,0
227,LR,2bk,40,0,0
227,RL,0bk,40,0,0
227,RL,2bk,34,6,1
